step,magnetization,energy,acceptance
0,0.008192,-33900.0,0.585936
1,0.012032,-52184.0,0.433728
2,0.013856,-62496.0,0.36072
3,0.020704,-68368.0,0.320096
4,0.022176,-72204.0,0.298624
5,0.027936,-74520.0,0.28112
6,0.03792,-76068.0,0.274272
7,0.032512,-77680.0,0.266608
8,0.028416,-78928.0,0.254912
9,0.027392,-80300.0,0.251584
10,0.037312,-79912.0,0.24848
11,0.0328,-80916.0,0.246288
12,0.024832,-81916.0,0.240528
13,0.032928,-82220.0,0.236752
14,0.036864,-81916.0,0.23496
15,0.03488,-82376.0,0.234688
16,0.043424,-82520.0,0.235568
17,0.044928,-83036.0,0.23144
18,0.032448,-82768.0,0.234208
19,0.028544,-83276.0,0.231936
20,0.028544,-83428.0,0.23008
21,0.037728,-83288.0,0.228048
22,0.036768,-82932.0,0.232224
23,0.042976,-83008.0,0.229728
24,0.04704,-82640.0,0.230832
25,0.05632,-83668.0,0.229216
26,0.063968,-83372.0,0.22504
27,0.067328,-83344.0,0.227248
28,0.067584,-82764.0,0.23264
29,0.071712,-82884.0,0.231696
30,0.068,-83088.0,0.232064
31,0.066656,-83024.0,0.231648
32,0.059712,-83896.0,0.227632
33,0.053088,-84144.0,0.222416
34,0.044192,-84424.0,0.220672
35,0.049664,-84228.0,0.22264
36,0.056416,-84436.0,0.223952
37,0.0472,-84280.0,0.221024
38,0.039616,-84248.0,0.222768
39,0.032288,-84144.0,0.225296
40,0.026816,-83808.0,0.22648
41,0.031072,-83696.0,0.22744
42,0.02672,-83772.0,0.228064
43,0.03248,-84456.0,0.224512
44,0.031808,-84732.0,0.22152
45,0.03376,-84832.0,0.218672
46,0.033952,-85212.0,0.218304
47,0.021984,-86028.0,0.214464
48,0.024608,-85108.0,0.216512
49,0.026176,-85028.0,0.219344
50,0.02544,-84200.0,0.22264
51,0.022624,-84200.0,0.222624
52,0.03024,-84492.0,0.224544
53,0.0328,-85076.0,0.222432
54,0.026624,-85332.0,0.218224
55,0.02176,-85344.0,0.215968
56,0.02,-84940.0,0.21752
57,0.022848,-85380.0,0.221328
58,0.02416,-84960.0,0.21864
59,0.029472,-84936.0,0.218816
60,0.026336,-84536.0,0.219776
61,0.023392,-85128.0,0.217792
62,0.0256,-85496.0,0.220144
63,0.022912,-85484.0,0.215552
64,0.02336,-85736.0,0.21536
65,0.019744,-86216.0,0.21192
66,0.009152,-85440.0,0.213584
67,0.017312,-85088.0,0.217904
68,0.01024,-84620.0,0.219824
69,0.002752,-84340.0,0.224192
70,0.013824,-85420.0,0.222016
71,0.005728,-86008.0,0.21512
72,0.010656,-85176.0,0.213376
73,0.00816,-84828.0,0.21856
74,0.007072,-84764.0,0.21808
75,0.011936,-85036.0,0.219072
76,0.027968,-85648.0,0.218736
77,0.03424,-85252.0,0.217472
78,0.02752,-85560.0,0.21568
79,0.031488,-84648.0,0.217664
80,0.033472,-84208.0,0.22576
81,0.03792,-84760.0,0.223696
82,0.037888,-85364.0,0.216592
83,0.045184,-84928.0,0.218656
84,0.0424,-84444.0,0.221296
85,0.047456,-84480.0,0.223712
86,0.050816,-85044.0,0.218896
87,0.05296,-85776.0,0.216176
88,0.057344,-86172.0,0.214512
89,0.065344,-85608.0,0.214112
90,0.075296,-86076.0,0.21384
91,0.082432,-85404.0,0.214128
92,0.08752,-85528.0,0.21368
93,0.08096,-85200.0,0.215824
94,0.087808,-85328.0,0.215616
95,0.089792,-85900.0,0.215424
96,0.081952,-85828.0,0.210416
97,0.081632,-84952.0,0.213696
98,0.08464,-85264.0,0.216128
99,0.092448,-85644.0,0.215328
100,0.09824,-85672.0,0.21432
101,0.0976,-85224.0,0.214656
102,0.101536,-84696.0,0.2236
103,0.092352,-85208.0,0.22232
104,0.089312,-85240.0,0.219824
105,0.090208,-85372.0,0.21904
106,0.076704,-84852.0,0.220704
107,0.079136,-85240.0,0.218784
108,0.089696,-85140.0,0.219776
109,0.091008,-85388.0,0.216368
110,0.106688,-86232.0,0.215808
111,0.11072,-85800.0,0.21376
112,0.121664,-86312.0,0.211616
113,0.125024,-86344.0,0.210896
114,0.125376,-86532.0,0.210224
115,0.12512,-86404.0,0.212544
116,0.111968,-86628.0,0.209904
117,0.103392,-86112.0,0.21168
118,0.116576,-86288.0,0.21488
119,0.112288,-86104.0,0.213504
120,0.098144,-86032.0,0.212256
121,0.107776,-85948.0,0.21384
122,0.113312,-86024.0,0.215216
123,0.10848,-86340.0,0.212528
124,0.106656,-86176.0,0.20888
125,0.11184,-86744.0,0.212352
126,0.109696,-86716.0,0.204528
127,0.110432,-86380.0,0.205552
128,0.106944,-86120.0,0.209808
129,0.095936,-86100.0,0.212512
130,0.102016,-85604.0,0.21328
131,0.105248,-86184.0,0.212784
132,0.109184,-86940.0,0.208688
133,0.108096,-86344.0,0.20704
134,0.106048,-86644.0,0.20784
135,0.1088,-86140.0,0.21088
136,0.115776,-85716.0,0.21232
137,0.112704,-85764.0,0.215904
138,0.117408,-86136.0,0.213264
139,0.113376,-86800.0,0.209728
140,0.108256,-85968.0,0.210144
141,0.096544,-85416.0,0.216928
142,0.10592,-86040.0,0.214832
143,0.108416,-86140.0,0.213536
144,0.117888,-86132.0,0.210912
145,0.122144,-86472.0,0.210832
146,0.128128,-87088.0,0.210288
147,0.113984,-87456.0,0.2072
148,0.112768,-87132.0,0.206016
149,0.113056,-86372.0,0.210256
150,0.11648,-86516.0,0.209936
151,0.115648,-86752.0,0.210272
152,0.106432,-85768.0,0.2104
